slenderness,aspect,gradation,porosity,pattern,deltaT,bottomT,pressure,support,etaB,E_exponent,k_exponent,E_scale,alpha_scale,nonlocal_length,material,reference,nx,nz,p,w3,wp,w_error,sx3_max,sxp_max,sx3_abs,sxp_abs,sxpeak_error,sx_error,edge_x,edge_sx_error,edge_sx3_abs,edge_sxp_abs,edge_sz3_abs,txz3_max,txzp_max,txz_error,txz_diff_MPa,txz_error_inplane_scale,sz_error_scale,sx3_peak_zh,sxp_peak_zh,solid_seconds,plate_seconds,solid_residual,plate_residual,w_over_h,case_id,group,screen_pass
10.0,1.0,0.5,0.1,uniform,20.0,0.0,0.0,SS,0.0,2.0,1.0,1.0,1.0,0.0,FGM,3D_Fourier_Q2,0,32,121,6.55359812127975e-05,6.612376744889331e-05,0.8968908761543566,1.7260295000593988,1.7427899422442783,14.445979609837268,14.429174480739189,0.11633083772757088,0.15459942519730036,0.05,41.88666477500191,9.181640362819925,4.740159317114669,0.9889407102495612,0.0427155415110759,0.0006008906976320762,99.22132592902105,0.007809241727156904,0.05405823584181879,0.8661919895294891,-0.4875,-0.4875,0.8463178179954411,0.5562643669982208,4.914017319911654e-13,1.213078446745339e-16,0.0006553598121279749,oat_gradation_low,rq4_oat,False
10.0,1.0,2.0,0.1,uniform,20.0,0.0,0.0,SS,0.0,2.0,1.0,1.0,1.0,0.0,FGM,3D_Fourier_Q2,0,32,121,5.66752975117053e-05,5.8582567902582534e-05,3.3652587187271785,3.93569741137429,3.9638116134695496,21.07347041066623,21.04864166759621,0.11781990619566378,0.18241198007484086,0.05,23.36328803842527,28.7481863836192,22.622784231267392,0.9415536052021946,0.04978513109698992,0.0024227799999166732,98.55384132579916,0.009329150184047254,0.044269643310928274,0.7072568432851805,-0.5,-0.5,0.839690385000722,0.47321183400345035,2.9796746590145225e-13,3.0262539973670366e-16,0.000566752975117053,oat_gradation_high,rq4_oat,False
10.0,1.0,1.0,0.05,uniform,20.0,0.0,0.0,SS,0.0,2.0,1.0,1.0,1.0,0.0,FGM,3D_Fourier_Q2,0,32,121,5.793438910570464e-05,5.897726581968513e-05,1.8000996128183997,2.748256071407488,2.7635542929200954,19.289566763499188,19.267317614513455,0.11534291702098708,0.16322821166515578,0.05,31.79265645248523,17.896243887300635,11.966394129984112,1.108180622882455,0.049688362469131504,0.0015952695802085675,98.66792910524224,0.009255540224784076,0.04798210523987995,0.7939237789821859,-0.5,-0.5,0.8271720800039475,0.534592991003592,3.893598277483299e-13,1.9403775591836172e-16,0.0005793438910570464,oat_porosity_low,rq4_oat,False
10.0,1.0,1.0,0.2,uniform,20.0,0.0,0.0,SS,0.0,2.0,1.0,1.0,1.0,0.0,FGM,3D_Fourier_Q2,0,32,121,5.793438909912451e-05,5.897726581968516e-05,1.8000996243808025,1.948901812652827,1.9597504127078749,13.6790279543643,13.66325016430867,0.11534291843154569,0.16322821297455514,0.05,31.792656452195242,12.69096519419354,8.485863981373722,0.7858566189963951,0.0352360686694496,0.0011312715028654683,98.6679290454213,0.006563485591170046,0.04798210525679907,0.7939237790092513,-0.5,-0.5,0.7778821980027715,0.43791705100011313,3.6000574823847927e-13,1.8966298694028772e-16,0.000579343890991245,oat_porosity_high,rq4_oat,False
10.0,1.0,1.0,0.1,uniform,20.0,0.0,0.0,SS,0.0,1.5,1.0,1.0,1.0,0.0,FGM,3D_Fourier_Q2,0,32,121,5.7934389103775545e-05,5.897726581968509e-05,1.8000996162080596,2.6000024049052723,2.6144753693675153,18.248998153690813,18.22794922682664,0.11534291738592076,0.16322821199245643,0.05,31.792656452405,16.930837569315884,11.32087138404993,1.0484002252998272,0.04700794196224187,0.00150921334733429,98.66792908631369,0.008756253500111864,0.04798210524416734,0.793923779075931,-0.5,-0.5,0.8062761829933152,0.4719426859956002,5.336647914348061e-13,1.921461419258336e-16,0.0005793438910377554,oat_E_exponent_low,rq4_oat,False
10.0,1.0,1.0,0.1,uniform,20.0,0.0,0.0,SS,0.0,2.5,1.0,1.0,1.0,0.0,FGM,3D_Fourier_Q2,0,32,121,5.793438910722668e-05,5.897726581968525e-05,1.8000996101441213,2.340002164264314,2.353027832430764,16.424098338204185,16.40515430414401,0.1153429166708784,0.16322821135493853,0.05,31.792656452577038,15.23775381247429,10.188784245644914,0.943560202774267,0.04230714777158139,0.001358292012591953,98.66792911599168,0.007880628149025988,0.04798210523795283,0.7939237789511479,-0.5,-0.5,0.8435884930004249,0.5007947170015541,5.071043006137575e-13,1.9101988019739387e-16,0.0005793438910722668,oat_E_exponent_high,rq4_oat,False
10.0,1.0,1.0,0.1,uniform,20.0,0.0,0.0,SS,0.0,2.0,0.5,1.0,1.0,0.0,FGM,3D_Fourier_Q2,0,32,121,5.793438911946222e-05,5.897726581968509e-05,1.800099588644028,2.4665788556910564,2.4803091160834074,17.312519753969102,17.29255098920312,0.11534291397070606,0.16322820897400336,0.05,31.792656453138182,16.062002824419505,10.7399216014261,0.994599783429229,0.04459564943700806,0.0014317654958115869,98.66792922338101,0.008306911441923323,0.04798210520459785,0.7939237789121799,-0.5,-0.5,0.8670914769973024,0.47720030199707253,4.401885728421613e-13,1.9834183465371718e-16,0.0005793438911946222,oat_k_exponent_low,rq4_oat,False
10.0,1.0,1.0,0.1,uniform,20.0,0.0,0.0,SS,0.0,2.0,1.5,1.0,1.0,0.0,FGM,3D_Fourier_Q2,0,32,121,5.793438911946397e-05,5.897726581968522e-05,1.8000995886411784,2.466578855691172,2.4803091160833977,17.312519753968065,17.29255098920321,0.1153429139642031,0.16322820897429052,0.05,31.792656453137553,16.062002824419466,10.739921601426248,0.9945997834292091,0.04459564943663939,0.0014317654958136863,98.66792922332816,0.008306911441936312,0.047982105204675995,0.7939237789122763,-0.5,-0.5,0.7810839259982458,0.4430096359938034,4.3043006480773177e-13,1.9873814048810906e-16,0.0005793438911946396,oat_k_exponent_high,rq4_oat,False
10.0,1.0,1.0,0.1,uniform,20.0,0.0,0.0,SS,0.0,2.0,1.0,0.85,1.0,0.0,FGM,3D_Fourier_Q2,0,32,121,5.793438910865256e-05,5.897726581968516e-05,1.8000996076384763,2.096592027772976,2.1082627486708905,14.715641791251135,14.698668340822731,0.11534291653180635,0.1632282112085048,0.05,31.79265645266632,13.652702400533398,9.128933361212246,0.8454098159014055,0.03790630200968395,0.0012170006714399878,98.6679291255436,0.007060874730208624,0.04798210523448942,0.7939237790681406,-0.5,-0.5,0.9623612470022636,0.4753196450037649,4.848956314697658e-13,1.7971495234130728e-16,0.0005793438910865255,oat_E_scale_low,rq4_oat,False
10.0,1.0,1.0,0.1,uniform,20.0,0.0,0.0,SS,0.0,2.0,1.0,1.15,1.0,0.0,FGM,3D_Fourier_Q2,0,32,121,5.7934389100729824e-05,5.8977265819685024e-05,1.8000996215597664,2.8365656850560157,2.852355483495922,19.90939771791651,19.886433637583718,0.11534291824469231,0.1632282127619198,0.05,31.792656452293347,18.47130324754415,12.350909841640076,1.1437897509196842,0.05128499682184301,0.0016465303201903916,98.66792905498737,0.009552948167956177,0.04798210525152884,0.7939237791387385,-0.5,-0.5,0.7676383669968345,0.43738924599892925,4.796435539698886e-13,1.69358132749408e-16,0.0005793438910072982,oat_E_scale_high,rq4_oat,False
