parameter,response,low_input,high_input,low_change_percent,high_change_percent
gradation,w3,0.5,2.0,13.121036070064985,-2.17330609141253
porosity,w3,0.05,0.2,-2.374506147262423e-08,-3.5102953876986476e-08
E_exponent,w3,1.5,2.5,-2.707484236808e-08,-2.1117874116072244e-08
k_exponent,w3,0.5,1.5,1.7763568394002505e-12,4.796163466380676e-12
E_scale,w3,0.85,1.15,-1.8656687306162212e-08,-3.233203704766652e-08
alpha_scale,w3,0.85,1.15,-14.99999999998396,14.999999999990266
gradation,sx3_abs,0.5,2.0,-16.557613708855246,21.72387792271213
porosity,sx3_abs,0.05,0.2,11.419753089825768,-20.98765431745675
E_exponent,sx3_abs,1.5,2.5,5.409255342553387,-5.131670192380922
k_exponent,sx3_abs,0.5,1.5,2.575717417130363e-12,-3.4083846855992306e-12
E_scale,sx3_abs,0.85,1.15,-14.99999999781788,15.000000004924496
alpha_scale,sx3_abs,0.85,1.15,-15.000000000000835,15.000000000002656
